subject,run,trial,audio_filename,is_naturalistic,num_words
1,1,1,nat_00098.wav,True,8
1,1,2,nat_00794.wav,True,10
1,1,3,nat_01056.wav,True,8
1,1,4,ctrl_00830.wav,False,7
1,1,5,nat_01640.wav,True,10
1,1,6,ctrl_00546.wav,False,7
1,1,7,ctrl_00662.wav,False,6
1,1,8,nat_01358.wav,True,8
1,1,9,ctrl_00343.wav,False,4
1,1,10,nat_01211.wav,True,10
1,1,11,nat_00785.wav,True,8
1,1,12,ctrl_00727.wav,False,10
1,1,13,nat_01699.wav,True,8
1,1,14,nat_01062.wav,True,7
1,1,15,nat_02100.wav,True,7
1,1,16,nat_01470.wav,True,10
1,1,17,nat_01442.wav,True,6
1,1,18,nat_00635.wav,True,11
1,1,19,nat_00797.wav,True,10
1,1,20,ctrl_00497.wav,False,13
1,1,21,ctrl_00826.wav,False,7
1,1,22,nat_01242.wav,True,8
1,1,23,ctrl_00256.wav,False,14
1,1,24,ctrl_01092.wav,False,7
1,1,25,ctrl_00098.wav,False,11
1,1,26,nat_02102.wav,True,6
1,1,27,nat_00976.wav,True,7
1,1,28,ctrl_00944.wav,False,8
1,1,29,ctrl_00326.wav,False,9
1,1,30,ctrl_00733.wav,False,9
1,1,31,ctrl_00313.wav,False,7
1,1,32,nat_01190.wav,True,11
1,1,33,nat_00086.wav,True,9
1,1,34,ctrl_00639.wav,False,14
1,1,35,nat_00014.wav,True,6
1,1,36,nat_01620.wav,True,9
1,1,37,ctrl_00320.wav,False,4
1,1,38,nat_01610.wav,True,9
1,1,39,nat_01275.wav,True,11
1,1,40,nat_00185.wav,True,10
1,1,41,ctrl_01099.wav,False,13
1,1,42,nat_01310.wav,True,7
1,1,43,nat_01606.wav,True,11
1,1,44,nat_01576.wav,True,6
1,1,45,nat_01748.wav,True,11
1,1,46,nat_00992.wav,True,9
1,1,47,ctrl_00967.wav,False,8
1,1,48,nat_01693.wav,True,9
1,1,49,nat_00851.wav,True,7
1,1,50,nat_01764.wav,True,10
1,1,51,nat_01540.wav,True,12
1,1,52,nat_00787.wav,True,9
1,1,53,nat_00588.wav,True,5
1,1,54,nat_01849.wav,True,10
1,1,55,ctrl_01029.wav,False,9
1,1,56,ctrl_00295.wav,False,10
1,1,57,nat_01421.wav,True,11
1,1,58,nat_01701.wav,True,10
1,1,59,ctrl_00030.wav,False,8
1,1,60,nat_00275.wav,True,7
1,1,61,nat_01855.wav,True,8
1,1,62,nat_00547.wav,True,6
1,1,63,nat_00105.wav,True,8
1,1,64,nat_01439.wav,True,6
1,1,65,nat_01271.wav,True,5
1,1,66,nat_01189.wav,True,10
1,1,67,ctrl_01160.wav,False,5
1,1,68,nat_00057.wav,True,9
1,1,69,nat_01317.wav,True,8
1,1,70,ctrl_01039.wav,False,16
1,1,71,nat_00022.wav,True,9
1,1,72,nat_01652.wav,True,9
1,1,73,ctrl_00554.wav,False,7
1,1,74,nat_00922.wav,True,9
1,1,75,ctrl_00063.wav,False,5
1,1,76,ctrl_00097.wav,False,11
1,1,77,nat_01979.wav,True,10
1,1,78,nat_01404.wav,True,6
1,1,79,nat_00122.wav,True,8
1,1,80,nat_01891.wav,True,10
1,2,1,nat_00536.wav,True,8
1,2,2,nat_00198.wav,True,11
1,2,3,nat_00681.wav,True,11
1,2,4,ctrl_00942.wav,False,6
1,2,5,nat_02124.wav,True,8
1,2,6,nat_00328.wav,True,8
1,2,7,nat_00780.wav,True,8
1,2,8,ctrl_01126.wav,False,8
1,2,9,ctrl_00982.wav,False,5
